Brand,Model,Varient,Engine,Year
Mitsubishi,Cedia,1.5,Petrol,2004-2015
Mitsubishi,Cedia,1.8,Petrol,2004-2015
Mitsubishi,Cedia,2,Petrol,2004-2015
Mitsubishi,Cedia,2.4,Petrol,2004-2015
Mitsubishi,Lancer,1.5,Petrol,1995-2003
Mitsubishi,Lancer,1.8,Petrol,1995-2003
Mitsubishi,Lancer,2,Petrol,1995-2003
Mitsubishi,Lancer,2.4,Petrol,1995-2003
Mitsubishi,"Lancer Evo",2,Petrol,2011-2016
Mitsubishi,"Montero AT",3.5,Diesel,2007-2012
Mitsubishi,"Montero MT",3.2,Diesel,2007-2012
Mitsubishi,Outlander,2.4,Diesel,2011-2014
Mitsubishi,"Outlander XL",2.4,Petrol,2007-2011
Mitsubishi,"Pajero SFX",2.8,Diesel,1997-2010
Mitsubishi,"Pajero Sport",2.5,Diesel,2012-2017
Nissan,Evalia,1.5,Diesel,2012-2015
Nissan,"GT-R (R35)3.8 V6",3.8,Petrol,2008-2016
Nissan,"GT-R (R35)3.8 V6",3.8,Petrol,2016-2019
Nissan,"Micra (K13K)",1.2,Petrol,2010-2013
Nissan,"Micra (K13K)",1.2,Petrol,2013-2015
Nissan,"Micra (K13K)",1.5,Diesel,2010-2013
Nissan,"Micra (K13K)",1.5,Diesel,2013-2015
Nissan,"Micra Active (MK13K)",1.2,Petrol,2013-2015
Nissan,"Micra Active (MK13K)",1.2,Petrol,2015-2015
Nissan,"Sunny (N17K)",1.5,Diesel,2011-2014
Nissan,"Sunny (N17K)",1.5,Petrol,2011-2014
Nissan,"Sunny (N17KK)",1.5,Diesel,2015-2018
Nissan,"Sunny (N17KK)",1.5,Petrol,2015-2018
Nissan,"Teana (J31)",2.3,Petrol,2005-2008
Nissan,"Teana (J32)",2.5,Petrol,2008-2011
Nissan,"Teana (J32)",2.5,Petrol,2011-2013
Nissan,"Terrano 1.5 XE",1.5,Diesel,2013-2018
Nissan,"Terrano 1.5 XL",1.6,Petrol,2013-2018
Nissan,"Terrano 1.5 XV ",1.5,Diesel,2013-2018
Nissan,"Xtrail (T30)",2.2,Diesel,2001-2013
Nissan,"Xtrail (T31)",2,Diesel,2007-2014
Opel,Astra,1.4,Petrol,1996-2003
Opel,Corsa,1.4,Petrol,2000-2003
Opel,Corsa,1.6,Petrol,2000-2003
Opel,"Vectra C",2.2,Petrol,2002-2005
Premier,Rio,1.2,Diesel,2013-2017
Premier,Rio,1.2,Petrol,2013-2017
Premier,Rio,1.5,Diesel,2013-2017
Renault,Duster,1.5,Diesel,2012-2016
Renault,Duster,1.6,Diesel,2012-2016
Renault,Duster,1.6,Petrol,2012-2016
Renault,Fluence,1.5,Diesel,2011-2014
Renault,Fluence,1.5,Diesel,2014-2017
Renault,Fluence,2,Petrol,2010-2017
Renault,Koleos,2,Diesel,2008-2016
Renault,Kwid,0.8,Petrol,2015-2018
Renault,Kwid,1,Petrol,2016-2018
Renault,Lodgy,1.5,Diesel,2015-2018
Renault,Logan,1.4,Diesel,2004-2011
Renault,Logan,1.4,Petrol,2007-2011
Renault,"Logan CNG",1.6,Petrol,2008-2011
Renault,Pulse,1.2,Petrol,2012-2016
Renault,Pulse,1.5,Diesel,2012-2016
Renault,Scala,1.5,Diesel,2012-2017
Renault,Scala,1.5,Petrol,2012-2017
Skoda,Fabia,1.2,Diesel,2007-2011
Skoda,Fabia,1.2,Petrol,2007-2011
Skoda,Fabia,1.4,Diesel,2007-2011
Skoda,Fabia,1.4,Petrol,2007-2011
Skoda,Fabia,1.6,Diesel,2007-2011
Skoda,Fabia,1.6,Petrol,2007-2011
Skoda,"Laura (1Z3)",1.8,Petrol,2007-2013
Skoda,"Laura (1Z3)",2,Diesel,2007-2013
Skoda,"Laura (1Z3)",2,Petrol,2007-2013
Skoda,"Octavia (1U2)",1.8,Petrol,2001-2006
Skoda,"Octavia (1U2)",1.9,Diesel,2001-2006
Skoda,"Octavia (1U2)",2,Petrol,2001-2006
Skoda,"Octavia (5E3)",1.8,Petrol,2013-2017
Skoda,"Octavia (5E3)",2,Diesel,2013-2017
Skoda,"Octavia (5E3)",2,Petrol,2013-2017
Skoda,"Rapid (NA2)",1.6,Diesel,2011-2016
Skoda,"Rapid (NA2)",1.6,Petrol,2011-2016
Skoda,"Rapid (NA3)",1.6,Diesel,2016-2019
Skoda,"Rapid (NA3)",1.6,Petrol,2016-2019
Skoda,"Superb (3T4)",1.8,Petrol,2009-2016
Skoda,"Superb (3T4)",1.9,Diesel,2009-2016
Skoda,"Superb (3T4)",2,Diesel,2009-2016
Skoda,"Superb (3T4)",2,Petrol,2009-2016
Skoda,"Superb (3T4)",3.6,Petrol,2009-2016
Skoda,"Superb (3U4)",1.9,Diesel,2005-2009
Skoda,"Superb (3U4)",2,Diesel,2005-2009
Skoda,"Superb (3U4)",2,Petrol,2005-2009
Skoda,"Superb (3U4)",2.5,Diesel,2005-2009
Skoda,"Superb (3V4)",1.8,Petrol,2016-2019
Skoda,"Superb (3V4)",1.8,Petrol,2016-2019
Skoda,"Superb (3V4)",2,Diesel,2016-2019
Skoda,"Superb V8 (3U4)",2.8,Petrol,2005-2009
Skoda,"Yeti (5L)",1.2,Petrol,2009-2016
Skoda,"Yeti (5L)",1.4,Petrol,2009-2016
Skoda,"Yeti (5L)",1.6,Diesel,2009-2016
Skoda,"Yeti (5L)",2,Diesel,2009-2016
Skoda,"Yeti (5L) 4x4",1.8,Petrol,2009-2016
Skoda,"Yeti (5L) 4x4",2,Diesel,2009-2016
Tata,Aria,2.2,Diesel,2010-2014
Tata,"Aria 4WD",2.2,Diesel,2010-2014
Tata,"Aria LET",2.2,Diesel,2014-2016
Tata,"Aria LET 4WD",2.2,Diesel,2014-2016
Tata,Bolt,1.2,Petrol,2015-2018
Tata,Bolt,1.3,Diesel,2015-2018
Tata,"Indica EV2",1.4,Diesel,2013-2016
Tata,"Indica V2",1.4,Diesel,2001-2003
Tata,"Indica V2 DiCOR",1.4,Diesel,2006-2013
Tata,"Indica V2 DiCOR Type-2",1.4,Diesel,2010-2013
Tata,"Indica V2 New",1.4,Diesel,2004-2006
Tata,"Indica V2 Turbo",1.4,Diesel,2005-2013
Tata,"Indica V2 Turbomax",1.4,Diesel,2010-2013
Tata,"Indica V2 XETA",1.2,Petrol,2006-2013
Tata,"Indica V2 XETA",1.4,Petrol,2006-2013
Tata,"Indica Vista",1.2,Petrol,2008-2012
Tata,"Indica Vista",1.3,Diesel,2008-2012
Tata,"Indica Vista",1.4,Diesel,2008-2012
Tata,"Indica Vista",1.4,Petrol,2008-2012
Tata,"Indica Vista TECH",1.3,Diesel,2014-2015
Tata,"Indica Vista TECH",1.4,Diesel,2014-2015
Tata,"Indica Vista Type-2",1.2,Petrol,2012-2014
Tata,"Indica Vista Type-2",1.3,Diesel,2012-2014
Tata,"Indica Vista Type-2",1.4,Diesel,2012-2014
Tata,"Indica Vista Type-2",1.4,Petrol,2012-2014
Tata,Indigo,1.4,Diesel,2002-2005
Tata,Indigo,1.4,Petrol,2005-2009
Tata,"Indigo CS",1.2,Diesel,2008-2011
Tata,"Indigo CS",1.4,Diesel,2008-2011
Tata,"Indigo eCS",1.2,Petrol,2013-2016
Tata,"Indigo eCS",1.4,Diesel,2013-2016
Tata,"Indigo Marina",1.4,Diesel,2003-2010
Tata,"Indigo Marina",1.4,Petrol,2003-2010
Tata,"Indigo XL",1.4,Diesel,2007-2011
Tata,"Indigo XL",1.4,Petrol,2007-2011
Tata,Manza,1.3,Diesel,2009-2015
Tata,Manza,1.4,Petrol,2009-2015
Tata,"Manza Club Class",1.3,Diesel,2012-2015
Tata,"Manza Club Class",1.4,Petrol,2012-2015
Tata,Safari,2,Diesel,1998-2003
Tata,Safari,2.1,Diesel,2003-2006
Tata,Safari,2.2,Diesel,2007-2009
Tata,Safari,2.2,Diesel,2010-2016
Tata,Safari,3,Diesel,2005-2007
Tata,"Safari 4WD",2.2,Diesel,2007-2009
Tata,"Safari 4WD",2.2,Diesel,2010-2016
Tata,"Safari 4WD",3,Diesel,2005-2007
Tata,"Safari Storme",2.2,Diesel,2012-2015
Tata,"Safari Storme",2.2,Diesel,2015-2018
Tata,"Safari Storme 4WD",2.2,Diesel,2015-2018
Tata,"Safari Storme VariCOR 400 ",2.2,Diesel,2015-2018
Tata,"Safari Storme VariCOR 400 4WD",2.2,Diesel,2015-2018
Tata,Sumo,2,Diesel,1994-2004
Tata,"Sumo 4X4",2,Diesel,1998-2004
Tata,"Sumo Spacio",3,Diesel,2000-2007
Tata,"Sumo Spacio Plus",3,Diesel,2007-2010
Toyota,"Camry (XV30)",2,Petrol,2001-2006
Toyota,"Camry (XV30)",2.4,Petrol,2001-2006
Toyota,"Camry (XV30)",3,Petrol,2001-2006
Toyota,"Camry (XV40)",2.4,Petrol,2006-2011
Toyota,"Camry (XV40)",3.5,Petrol,2006-2011
Toyota,"Camry (XV50)",2.5,Petrol,2012-2017
Toyota,"Camry (XV50)",2.5,Petrol,2012-2017
Toyota,"Corolla (E120)",1.8,Petrol,2003-2008
Toyota,"Corolla Altis (E140)",1.4,Diesel,2010-2013
Toyota,"Corolla Altis (E140)",1.8,Petrol,2008-2011
Toyota,"Corolla Altis (E140)",1.8,Petrol,2011-2013
Toyota,"Corolla Altis (E170)",1.4,Diesel,2014-2017
Toyota,"Corolla Altis (E170)",1.8,Petrol,2014-2017
Toyota,Etios,1.4,Diesel,2011-2016
Toyota,Etios,1.5,Petrol,2010-2016
Toyota,"Etios Cross",1.2,Petrol,2014-2017
Toyota,"Etios Cross",1.4,Diesel,2014-2017
Toyota,"Etios Cross",1.5,Petrol,2014-2017
Toyota,"Etios Liva",1.2,Petrol,2010-2017
Toyota,"Etios Liva",1.4,Diesel,2013-2017
Toyota,"Etios Liva",1.5,Petrol,2013-2017
Toyota,"Fortuner Type-1",2.5,Diesel,2009-2012
Toyota,"Fortuner Type-1",3,Diesel,2009-2012
Toyota,"Fortuner Type-1 4WD",3,Diesel,2009-2012
Toyota,"Fortuner Type-2",2.5,Diesel,2012-2016
Toyota,"Fortuner Type-2",3,Diesel,2012-2016
Toyota,"Fortuner Type-2 4WD",3,Diesel,2012-2016
Toyota,"Fortuner Type-2 AT",3,Diesel,2012-2016
Toyota,"Fortuner Type-3",2.5,Petrol,2016-2019
Toyota,"Fortuner Type-3",3,Diesel,2016-2019
Toyota,"Fortuner Type-3 4WD",3,Diesel,2016-2019
Toyota,"Fortuner Type-3 AT",3,Diesel,2016-2019
Toyota,Innova,2,Petrol,2005-2012
Toyota,Innova,2.5,Diesel,2005-2012
Toyota,"Innova Crysta",2.4,Diesel,2016-2019
Toyota,"Innova Crysta",2.7,Petrol,2016-2019
Toyota,"Innova Crysta",2.8,Diesel,2016-2019
Toyota,"Innova Type-2",2,Petrol,2012-2015
Toyota,"Innova Type-2",2.5,Diesel,2012-2015
Toyota,"Land Cruiser (J100)",4.2,Diesel,1998-2003
Toyota,"Land Cruiser (J100)",4.2,Diesel,2003-2007
Toyota,"Land Cruiser (J100)",4.7,Petrol,1998-2002
Toyota,"Land Cruiser (J100)",4.7,Petrol,2002-2007
Toyota,"Land Cruiser (J200)",4.5,Diesel,2007-2015
Toyota,"Land Cruiser (J200) AT",4.5,Diesel,2012-2016
Toyota,"Land Cruiser (J200) MT",4.5,Diesel,2012-2016
Toyota,"Land Cruiser (J200) V8",4.7,Petrol,2007-2012
Toyota,"Prado (J120)",3,Diesel,2002-2004
Toyota,"Prado (J120)",3,Diesel,2004-2009
Toyota,"Prado (J120)",4,Petrol,2003-2004
Toyota,"Prado (J120)",4,Petrol,2004-2009
Toyota,"Prado (J150)",3,Diesel,2009-2015
Toyota,"Prado (J150)",3,Diesel,2013-2016
Toyota,Prius,1.8,Petrol,2012-2015
Toyota,Qualis,2,Petrol,1999-2004
Toyota,Qualis,2.4,Diesel,1999-2004
VolksWagen,Ameo,1.2,Petrol,2016-2019
VolksWagen,"Ameo TDI",1.5,Diesel,2016-2019
VolksWagen,"Beetle (9C1) TDI",2,Diesel,2012-2017
VolksWagen,"Jetta (6J)",1.4,Petrol,2011-2017
VolksWagen,"Jetta (6J)",2,Diesel,2007-2011
VolksWagen,"Jetta (6J)",2,Diesel,2011-2017
VolksWagen,"Passat (362)",1.8,Petrol,2007-2010
VolksWagen,"Passat (362) TDI",2,Diesel,2010-2012
VolksWagen,"Passat (A32) FSI",3.6,Petrol,2011-2016
VolksWagen,"Passat DSG",2,Diesel,2011-2014
VolksWagen,"Passat TDI",2,Diesel,2014-2017
VolksWagen,"Passat TSI",1.4,Petrol,2014-2017
VolksWagen,"Passat TSI",1.8,Petrol,2007-2014
VolksWagen,"Polo (6R)",1.2,Diesel,2011-2017
VolksWagen,"Polo (6R)",1.2,Petrol,2011-2017
VolksWagen,"Polo (6R) TDI",1.4,Diesel,2011-2017
VolksWagen,"Polo (6R) TDI",1.6,Diesel,2011-2017
VolksWagen,"Polo (6R) TSI",1.2,Petrol,2011-2017
VolksWagen,"Polo (6R) TSI",1.6,Petrol,2011-2017
VolksWagen,"Touareg (7P5) V6 TDI",3,Diesel,2011-2014
VolksWagen,"Vento (162) ",1.6,Petrol,2011-2016
VolksWagen,"Vento (162) ",1.6,Petrol,2011-2016
VolksWagen,"Vento (162) TDI",1.5,Diesel,2016-2018
VolksWagen,"Vento (162) TDI",1.6,Diesel,2011-2016
VolksWagen,"Vento (162) TSI",1.2,Petrol,2011-2016
Volvo,S60,2,Diesel,2013-2017
Volvo,S60,2,Petrol,2013-2017
Volvo,S60,2.4,Diesel,2010-2016
Volvo,"S60 AWD",2.4,Diesel,2010-2016
Volvo,"S80 II",2,Diesel,2010-2017
Volvo,"S80 II",2,Petrol,2010-2017
Volvo,"S80 II",2.4,Diesel,2010-2017
Volvo,"S80 II AWD",2.4,Diesel,2010-2017
Volvo,V40,1.6,Petrol,2013-2017
Volvo,V40,2,Diesel,2013-2017
Volvo,V40,2,Petrol,2013-2017
Volvo,XC60,2,Diesel,2010-2012
Volvo,XC60,2,Diesel,2012-2017
Volvo,XC60,2.4,Diesel,2010-2012
Volvo,"XC60 AWD",2.4,Diesel,2012-2017
Volvo,XC90,2.4,Diesel,2009-2011
Volvo,XC90,2.4,Diesel,2011-2016
Volvo,XC90,3.2,Petrol,2011-2016
Volvo,XC90,3.2,Petrol,2011-2016
Volvo,"XC90 AWD",3.2,Petrol,2011-2016
Hyundai,ACCENT,1.3,Petrol,1999-2006
Hyundai,ACCENT,1.5,Diesel,2002-2007
Hyundai,ACCENT,1.5,Petrol,1999-2007
Hyundai,ACCENT,1.5,Petrol,2007-2013
Hyundai,ACCENT,1.6,Petrol,1999-2007
Hyundai,Creta,1.6,Petrol,2015-2017
Hyundai,"Creta CRDI",1.4,Diesel,2015-2017
Hyundai,"Creta CRDI",1.6,Diesel,2015-2017
Hyundai,Elantra,1.8,Petrol,2004-2007
Hyundai,Elantra,2,Petrol,2017-2017
Hyundai,"Elantra CRDI",1.6,Diesel,2017-2017
Hyundai,"Elantra CRDI",2,Diesel,2004-2007
Hyundai,"Elantra Fluidic ",1.8,Petrol,2012-2015
Hyundai,"Elantra Fluidic CRDI",1.6,Diesel,2012-2015
Hyundai,Eon,0.8,Petrol,2011-2017
Hyundai,Eon,1,Petrol,2011-2017
Hyundai,Getz,1.1,Petrol,2004-2007
Hyundai,Getz,1.1,Petrol,2007-2010
Hyundai,Getz,1.3,Petrol,2004-2007
Hyundai,Getz,1.3,Petrol,2007-2010
Hyundai,"Getz CRDI",1.5,Diesel,2007-2010
Hyundai,"Grand I10",1,Petrol,2013-2017
Hyundai,"Grand I10",1.2,Petrol,2013-2017
Hyundai,"Grand I10 CRDI",1.1,Diesel,2013-2017
Hyundai,I10,1.1,Petrol,2007-2010
Hyundai,I10,1.1,Petrol,2008-2010
Hyundai,I10,1.1,Petrol,2010-2017
Hyundai,I10,1.1,Petrol,2010-2017
Hyundai,I20,1.2,Petrol,2008-2012
Hyundai,I20,1.4,Petrol,2009-2012
Hyundai,"I20 Active",1.2,Petrol,2014-2017
Hyundai,"I20 Active Diesel",1.4,Diesel,2014-2017
Hyundai,"I20 CRDI",1.4,Diesel,2009-2012
Hyundai,"I20 CRDI",1.4,Diesel,2009-2012
Hyundai,"I20 Elite",1.2,Petrol,2012-2014
Hyundai,"I20 Elite",1.2,Petrol,2014-2017
Hyundai,"I20 Elite",1.4,Petrol,2012-2015
Hyundai,"I20 Elite Diesel",1.4,Diesel,2012-2014
Hyundai,"I20 Elite Diesel",1.4,Diesel,2014-2017
Hyundai,"Santa Fe II (CM)",2.4,Petrol,2009-2012
Hyundai,"Santa Fe II (CM) CRDI",2.2,Diesel,2009-2012
Hyundai,"Santa Fe II (CM) CRDI",2.2,Diesel,2011-2013
Hyundai,"SANTA FE III (DM) CRDI",2.2,Diesel,2013-2017
Hyundai,Santro,1,Petrol,1998-2005
Hyundai,Santro,1.1,Petrol,1998-2005
Hyundai,"Santro Xing",1.1,Petrol,2005-2007
Hyundai,"Santro Xing",1.1,Petrol,2007-2010
Hyundai,"SONATA EMBERA",2.4,Petrol,2005-2009
Hyundai,"SONATA IV (EF-B) GOLD",2,Petrol,2001-2006
Hyundai,"SONATA IV (EF-B) GOLD",2.7,Petrol,2002-2006
Hyundai,"SONATA Transform",2.4,Petrol,2008-2011
Hyundai,"SONATA V CRDI EMBERA",2,Diesel,2006-2009
Hyundai,"SONATA V CRDI Transform",2,Diesel,2008-2011
Hyundai,"SONATA VI (YF) FLUDIC",2.4,Petrol,2012-2014
Hyundai,"TERRACAN (HP) CRDI",2.9,Diesel,2003-2005
Hyundai,"Tucson CRDI",2,Diesel,2006-2008
Hyundai,"Tucson CRDI Turbo",2,Diesel,2004-2006
Hyundai,"Verna ",1.6,Petrol,2007-2011
Hyundai,"Verna CRDI",1.5,Diesel,2007-2011
Hyundai,"Verna Fluidic",1.4,Petrol,2011-2014
Hyundai,"Verna Fluidic",1.4,Petrol,2014-2017
Hyundai,"Verna Fluidic",1.6,Petrol,2011-2014
Hyundai,"Verna Fluidic",1.6,Petrol,2014-2017
Hyundai,"Verna Fluidic CRDI",1.4,Diesel,2011-2014
Hyundai,"Verna Fluidic CRDI",1.4,Diesel,2014-2017
Hyundai,"Verna Fluidic CRDI",1.6,Diesel,2011-2014
Hyundai,"Verna Fluidic CRDI",1.6,Diesel,2014-2017
Hyundai,Xcent,1,Petrol,2013-2017
Hyundai,Xcent,1.2,Petrol,2013-2017
Hyundai,"Xcent CRDI",1.1,Diesel,2013-2017
Maruti,Alto,0.8,Petrol,2007-2012
Maruti,Alto,0.8,Petrol,2010-2012
Maruti,Astar,1,Petrol,2008-2014
Maruti,"Ato 800",0.8,Petrol,2012-2017
Maruti,"Ato K10",1,Petrol,2010-2014
Maruti,Baleno,1.2,Petrol,2015-2017
Maruti,Baleno,1.3,Diesel,2015-2017
Maruti,Baleno,1.6,Petrol,1999-2007
Maruti,Brezza,1.3,Diesel,2017-2017
Maruti,Celerio,1,Diesel,2014-2017
Maruti,Celerio,1,Petrol,2014-2017
Maruti,Ciaz,1.3,Diesel,2014-2017
Maruti,Ciaz,1.4,Petrol,2014-2017
Maruti,Eeco,1.2,Petrol,2010-2017
Maruti,Ertiga,1.3,Petrol,2012-2017
Maruti,Ertiga,1.4,Petrol,2012-2017
Maruti,Esteem,1.3,Petrol,2000-2007
Maruti,Esteem,1.5,Diesel,2002-2004
Maruti,Estilo,1,Petrol,2007-2014
Maruti,"Grand Vitara",2,Petrol,2002-2006
Maruti,"Grand Vitara",2.4,Petrol,2009-2015
Maruti,"Grand Vitara",2.7,Petrol,2007-2008
Maruti,"Gypsy 4WD",1.3,Petrol,2000-2015
Maruti,Kizashi,2.4,Petrol,2010-2011
Maruti,Kizashi,2.4,Petrol,2011-2014
Maruti,"Maruti 800",0.8,Petrol,1986-2014
Maruti,Omni,0.8,Petrol,2007-2017
Maruti,Ritz,1.2,Petrol,2009-2017
Maruti,Ritz,1.3,Diesel,2009-2017
Maruti,Scross,1.3,Diesel,2015-2017
Maruti,Scross,1.6,Diesel,2015-2017
Maruti,"Swift  Type-1",1.2,Petrol,2010-2011
Maruti,"Swift  Type-1",1.3,Diesel,2007-2011
Maruti,"Swift  Type-1",1.3,Petrol,2005-2009
Maruti,"Swift  Type-2",1.2,Petrol,2011-2017
Maruti,"Swift  Type-2",1.3,Diesel,2011-2017
Maruti,"Swift Dzire Type-1",1.2,Petrol,2010-2012
Maruti,"Swift Dzire Type-1",1.3,Diesel,2008-2012
Maruti,"Swift Dzire Type-1",1.3,Petrol,2007-2009
Maruti,"Swift Dzire Type-2",1.2,Petrol,2012-2017
Maruti,"Swift Dzire Type-2",1.3,Diesel,2012-2017
Maruti,SX4,1.3,Petrol,2011-2014
Maruti,SX4,1.6,Petrol,2010-2014
Maruti,SX4,1.6,Petrol,2011-2014
Maruti,Versa,1.3,Petrol,2007-2009
Maruti,Wagonr,1,Petrol,2003-2010
Maruti,Wagonr,1,Petrol,2010-2012
Maruti,Wagonr,1,Petrol,2012-2014
Maruti,Zen,1,Petrol,1993-2006
Maruti,Zen,1,Petrol,2006-2008
Maruti,Zen,1.5,Diesel,2004-2006
Maruti,"Zen Estilo",1,Petrol,2006-2008
Maruti,"Swift Dzire Type-3",1.2,Petrol,2017-2019
Maruti,"Swift Dzire Type-3",1.2,Diesel,2017-2019
Mahindra,"Maxx ",2.5,Diesel,2000-2005
Mahindra,"Maxx Pick up",2.5,Diesel,2008-2017
Mahindra,Marshal,2.5,Diesel,1996-2006
Mahindra,Commander,2.5,Diesel,2002-2005
Mahindra,"Commander 4*4",2.5,Diesel,2000-2005
Mahindra,"Bolero Pickup",2,Diesel,2002-2004
Mahindra,"Bolero Pickup",2.5,Diesel,2002-2017
Mahindra,"Bolero Pickup 4*4",2.5,Diesel,1999-2017
Mahindra,Bolero,2.5,Diesel,2000-2017
Mahindra,"Bolero 4*4",2.5,Diesel,2000-2007
Mahindra,"Bolero Power+",1.5,Diesel,2017-2017
Mahindra,"Bolero Invader",2.5,Diesel,2001-2007
Mahindra,"Bolero Camper",2.5,Diesel,2005-2010
Mahindra,"Bolero Camper 4*4",2.5,Diesel,2006-2017
Mahindra,"Bolero Camper Gold",2.5,Diesel,2010-2017
Mahindra,"Bolero Maxi Truck",2.5,Diesel,2006-2017
Mahindra,"Scorpio ",2,Petrol,2002-2017
Mahindra,"Scorpio ",2.2,Diesel,2007-2017
Mahindra,"Scorpio ",2.5,Diesel,2012-2017
Mahindra,"Scorpio ",2.6,Diesel,2002-2014
Mahindra,"Scorpio 4*4",2,Petrol,2002-2017
Mahindra,"Scorpio 4*4",2.2,Diesel,2007-2017
Mahindra,"Scorpio 4*4",2.6,Diesel,2002-2014
Mahindra,"Scorpio Gateway",2.2,Diesel,2007-2017
Mahindra,"Scorpio Gateway",2.5,Diesel,2007-2017
Mahindra,"Scorpio Gateway",2.6,Diesel,2014-2017
Mahindra,Savari,2.5,Diesel,2008-2017
Mahindra,Gio,0.5,Diesel,2009-2017
Mahindra,Xylo,2.2,Diesel,2010-2017
Mahindra,Xylo,2.5,Diesel,2010-2017
Mahindra,Thar,2.5,Diesel,2010-2017
Mahindra,"Thar 4*4",2.5,Diesel,2010-2017
Mahindra,Genio,2.2,Diesel,2012-2017
Mahindra,Genio,2.5,Diesel,2010-2017
Mahindra,Verito,1.4,Petrol,2011-2017
Mahindra,Verito,1.5,Diesel,2011-2017
Mahindra,XUV500,2.2,Diesel,2011-2017
Mahindra,"XUV500 AWD",2.2,Diesel,2011-2017
Mahindra,Rexton,2.7,Diesel,2012-2017
Mahindra,Quanto,1.5,Diesel,2012-2017
Mahindra,Reva-E20,,Electric,2013-2017
Mahindra,"Maxximo Plus",0.9,Diesel,2013-2017
Mahindra,"Maxximo Mini Van",0.9,Diesel,2013-2017
Mahindra,TUV300,1.5,Diesel,2015-2017
Mahindra,"Jeet0 L6-11",0.6,Diesel,2015-2017
Mahindra,"Jeeto L6-16",0.6,Diesel,2015-2017
Mahindra,"Jeeto S6-11",0.6,Diesel,2015-2017
Mahindra,"Jeeto S6-16",0.6,Diesel,2015-2017
Mahindra,"Jeeto X7-11",0.6,Diesel,2015-2017
Mahindra,"Jeeto X7-16",0.6,Diesel,2015-2017
Mahindra,KUV100,1.2,Petrol,2017-2017
Mahindra,KUV100,1.2,Diesel,2017-2017
